"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
8,"Ceuta",2020-11-07,444.423487250822,562.307701375709,570.559596364451,620.070966296903,684.907284065591,763.889707529265,763.889707529265,763.889707529265,848.766341699183,902.993080196631,965.471713682821,991.406240790296,1044.45413714649,1044.45413714649,1044.45413714649,1052.70603213524,1009.08887290903,1102.21740206769,1071.56750639522,1019.69845218027,1019.69845218027,1019.69845218027,891.204658784142,871.164342382912,848.766341699183
10,"Castilla y Leon",2020-10-31,461.35191267509,524.777883835689,538.431795994685,568.871251541806,594.842913202039,636.556241174019,636.556241174019,636.556241174019,706.370740042039,752.050800904248,763.742224159658,794.76625086955,849.674185086922,849.674185086922,849.674185086922,908.298321696192,902.160324487101,949.093037840962,947.42283451876,955.272790133107,955.272790133107,955.272790133107,972.100088604286,908.882892858962,1002.24725857002
14,"La Rioja",2020-11-06,638.132990614566,638.132990614566,718.816472186522,711.162703183649,714.989587685086,747.199198905511,757.085317200889,757.085317200889,757.085317200889,771.11722703949,765.376900287335,763.782365078403,780.365531251296,802.689024176343,802.689024176343,802.689024176343,803.007931218129,758.360945368035,795.354162215256,788.338207295955,785.149136878091,785.149136878091,785.149136878091,732.210567941551,720.411007395454
