"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
5,"C. Valenciana",2020-11-05,170.266936082967,170.266936082967,170.266936082967,198.957834266265,214.736839607597,231.425411672865,246.235530721308,258.396042356545,258.396042356545,258.396042356545,274.432099163337,287.225352867399,321.769115187332,324.418722600538,321.96684708384,321.96684708384,321.96684708384,341.601624407076,320.523404239332,373.258501037994,385.260827156024,400.64436870434,400.64436870434,400.64436870434,405.38993422053
7,"Cantabria",2020-11-07,224.880983286942,284.883630968243,299.841311049255,317.034046774557,341.103876789979,357.265048371762,357.265048371762,357.265048371762,392.338229251377,413.65722155075,425.864063915714,415.720349837787,449.074257144871,449.074257144871,449.074257144871,469.53361265798,446.839201500582,498.933190748245,509.248832183426,517.329417974317,517.329417974317,517.329417974317,520.767965119378,524.550366978944,532.974807484342
13,"Galicia",2020-11-14,281.477034545985,312.308115384487,317.045664420896,326.853871410335,338.956828714285,346.100164370744,346.100164370744,346.100164370744,336.884151010856,317.008652319049,328.075270771284,326.298689882631,329.777827456243,329.777827456243,329.777827456243,309.828304560742,309.310135134885,302.684968904283,299.242843432517,298.24351668265,298.24351668265,298.24351668265,285.548365749149,300.797351710089,278.256981685302
15,"Madrid",2020-11-05,457.116695733027,457.116695733027,457.116695733027,438.679812999861,454.299540051399,453.517816223513,447.352522637542,435.774160281114,435.774160281114,435.774160281114,419.107218290332,400.596588026233,417.765013227357,401.658552471663,396.717467899175,396.717467899175,396.717467899175,388.236501841918,356.008830824344,367.483946637467,362.882100707268,356.171075392396,356.171075392396,356.171075392396,345.315438839108
