"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
2,"Aragon",2020-10-23,341.885871049225,341.885871049225,362.797702105701,389.652103858082,367.762381421267,390.479550410677,412.444495261364,412.444495261364,412.444495261364,521.216105720589,555.667971274065,555.968860929553,642.023302399369,678.205283471906,678.205283471906,678.205283471906,814.658742236107,866.110873324703,936.895164778459,980.148052754983,1025.0558338367,1025.0558338367,1025.0558338367,1122.46885980122,1115.17228565561
11,"Catalonia",2020-10-30,330.87937130863,330.87937130863,370.735529264972,394.38445884887,428.109888864169,462.824975171837,484.301801984171,484.301801984171,484.301801984171,605.888146475301,647.338036642731,693.157837711534,735.263214514171,768.487390043724,768.487390043724,768.487390043724,780.273296798308,817.507508213826,825.540432664878,836.349535806214,842.531674463744,842.531674463744,842.531674463744,765.068577397356,707.964124059714
17,"Murcia",2020-10-31,364.797111796783,393.515041511966,400.992290493108,390.338864953605,406.682940160172,412.969122931929,412.969122931929,412.969122931929,454.65644026042,495.748224484219,498.395038282853,496.939290693604,575.549660513045,575.549660513045,575.549660513045,668.916017259873,675.863903481288,718.279094604404,758.77534572351,802.844795470772,802.844795470772,802.844795470772,907.460110861796,857.766181792436,953.977863372795
19,"Pais Vasco",2020-10-31,295.42842525841,351.046429098979,364.737014659735,364.466805734194,402.386124951813,429.857365715171,429.857365715171,429.857365715171,556.630386614931,512.856540677252,546.632656369905,559.42254551219,600.269128089839,600.269128089839,600.269128089839,649.582257001113,665.389479145275,721.277691911386,705.29033048353,717.674906237503,717.674906237503,717.674906237503,814.139492655721,770.275577076195,843.952544107104
