"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
1,"Andalucia",2020-11-03,343.000830181805,354.283363603209,374.249312799201,374.249312799201,374.249312799201,417.323780709609,451.643947818696,448.087882311008,486.554823483879,513.940072144417,513.940072144417,513.940072144417,615.943625610807,633.145058764278,626.115626946754,636.2876282827,648.007286035614,648.007286035614,648.007286035614,692.901136298793,658.580969189705,708.755753944368,704.668050736194,703.569332821858,703.569332821858
3,"Asturias",2020-11-14,401.851619185225,418.145553915256,421.97364701448,432.280051512391,448.279517542482,473.60382573735,473.60382573735,473.60382573735,511.982912962905,488.327260734366,535.147784024877,555.269811854132,576.569714483149,576.569714483149,576.569714483149,631.439048905362,634.187423438138,650.088733234915,652.248170367811,626.236768539749,626.236768539749,626.236768539749,587.661368847567,610.335458742972,569.698778151208
4,"Baleares",2021-01-01,352.953327363998,352.953327363998,415.861816425005,458.796646815354,464.686315397728,490.464285135074,463.662025209489,463.662025209489,463.662025209489,525.119436503824,533.825903103855,547.227033066648,563.701033594157,524.607291409705,524.607291409705,524.607291409705,565.152111360829,564.89603881377,524.265861346959,572.748930256935,620.207708978672,620.207708978672,620.207708978672,619.01270375906,630.792040923807
9,"Castilla - La Mancha",2020-11-05,428.46225420138,428.46225420138,428.46225420138,473.983007215357,517.645770310397,527.718031449902,549.573860233197,572.358683975962,572.358683975962,572.358683975962,600.424110646233,623.648984632957,646.971647562782,661.933355857387,658.608531791919,658.608531791919,658.608531791919,647.705064636047,591.329738937748,636.263758293114,628.440642844954,606.975969834067,606.975969834067,606.975969834067,574.26556836645
12,"Extremadura",2020-11-05,357.899109669573,357.899109669573,357.899109669573,421.339734414048,442.204650996676,475.663706417466,491.453373020535,511.660386828035,511.660386828035,511.660386828035,556.397775536731,571.717511586138,600.85320591323,616.172941962637,632.244566897904,632.244566897904,632.244566897904,613.823289194323,578.484511558882,597.845650369788,593.522289276091,577.732622673021,577.732622673021,577.732622673021,513.164164599755
