"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
4,"Baleares",2021-01-01,451.714285714286,463.428571428571,481.857142857143,416,416,416,460.428571428571,445.857142857143,457.142857142857,466.571428571429,466.571428571429,466.571428571429,466.571428571429,490.285714285714,504.285714285714,425,496,575.714285714286,575.714285714286,575.714285714286,550.714285714286,557,662.142857142857,603.571428571429,626.714285714286
13,"Galicia",2020-11-14,675.857142857143,691,701.857142857143,701.857142857143,701.857142857143,637.142857142857,566.142857142857,609.571428571429,590.857142857143,593.428571428571,593.428571428571,593.428571428571,580.142857142857,649.428571428571,580.285714285714,584.857142857143,579.714285714286,579.714285714286,579.714285714286,544.285714285714,536.571428571429,514.285714285714,486.142857142857,445.142857142857,445.142857142857
18,"Navarra",2020-10-23,430.714285714286,448.428571428571,457.857142857143,474.857142857143,474.857142857143,474.857142857143,479.857142857143,516.285714285714,517.571428571429,543.571428571429,532.285714285714,532.285714285714,532.285714285714,569,568,586.571428571429,574.428571428571,596.571428571429,596.571428571429,596.571428571429,574.714285714286,557.571428571429,558.714285714286,537.285714285714,495.857142857143
