"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
2,"Aragon",2020-10-23,489.142857142857,470.571428571429,491.857142857143,475,475,475,528.142857142857,584.714285714286,604.142857142857,748.428571428571,826.714285714286,826.714285714286,826.714285714286,1035.71428571429,1078.42857142857,1193,1131,1140.85714285714,1140.85714285714,1140.85714285714,1119.28571428571,1063,1039.57142857143,983.857142857143,942.571428571429
5,"C. Valenciana",2020-11-05,895.571428571429,860.714285714286,1003.71428571429,1071.28571428571,1116.42857142857,1116.42857142857,1116.42857142857,1101,1230.42857142857,1343.14285714286,1296.28571428571,1233.57142857143,1233.57142857143,1233.57142857143,1392.71428571429,1109.57142857143,1384.85714285714,1518.71428571429,1695.28571428571,1695.28571428571,1695.28571428571,1571.28571428571,1839.42857142857,1500.28571428571,1510.85714285714
9,"Castilla - La Mancha",2020-11-05,783.571428571429,858.285714285714,895,935.857142857143,968.857142857143,968.857142857143,968.857142857143,986,980.142857142857,1012.7619047619,1018.66666666667,977.52380952381,977.52380952381,977.52380952381,930.5,768.880952380952,869.428571428571,840.571428571429,818.857142857143,818.857142857143,818.857142857143,773,898.571428571429,726.571428571429,681.714285714286
17,"Murcia",2020-10-31,487,511.428571428571,516.428571428571,516.428571428571,516.428571428571,539.571428571429,571.285714285714,595.714285714286,568.857142857143,734.714285714286,734.714285714286,734.714285714286,915.285714285714,898,967.142857142857,1083.42857142857,1013.71428571429,1013.71428571429,1013.71428571429,1060.28571428571,968.714285714286,1112.71428571429,1037.28571428571,1024.14285714286,1024.14285714286
19,"Pais Vasco",2020-10-31,638,779.714285714286,813.571428571429,813.571428571429,813.571428571429,909,949,1108.57142857143,1007.28571428571,1105.28571428571,1105.28571428571,1105.28571428571,1165.57142857143,1177.28571428571,1196.78571428571,1247.2380952381,1189.59523809524,1189.59523809524,1189.59523809524,1435.57142857143,1282.33333333333,1506.28571428571,1522.28571428571,1529.28571428571,1529.28571428571
