"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
6,"Canarias",2020-12-17,97.1428571428572,81.4285714285714,161,159.857142857143,171.714285714286,171.714285714286,171.714285714286,263.571428571429,283.857142857143,222.857142857143,227.714285714286,229.714285714286,229.714285714286,229.714285714286,224.428571428571,228,217.714285714286,182.857142857143,145.857142857143,145.857142857143,145.857142857143,172.857142857143,185.285714285714,191.857142857143,192
7,"Cantabria",2020-11-07,164.714285714286,162.571428571429,171.857142857143,171.857142857143,171.857142857143,170.571428571429,182.285714285714,190.380952380952,184.428571428571,203.02380952381,203.02380952381,203.02380952381,222.238095238095,191.380952380952,227,241.571428571429,230.285714285714,230.285714285714,230.285714285714,214.285714285714,248.714285714286,221.142857142857,217.714285714286,208,208
8,"Ceuta",2020-11-07,52.5714285714286,54.1428571428571,58.5714285714286,58.5714285714286,58.5714285714286,60.4285714285714,63.2857142857143,66.7142857142857,68.2857142857143,70.7142857142857,70.7142857142857,70.7142857142857,69.5714285714286,61.4285714285714,70.1428571428571,65,56.4285714285714,56.4285714285714,56.4285714285714,41.7142857142857,47,35.3095238095238,34.9523809523809,32.3571428571429,32.3571428571429
14,"La Rioja",2020-11-06,170.142857142857,176.142857142857,174.285714285714,175.857142857143,175.857142857143,175.857142857143,181,177.142857142857,171.285714285714,180.714285714286,189.428571428571,189.428571428571,189.428571428571,184.285714285714,168,191,179,168.428571428571,168.428571428571,168.428571428571,150.285714285714,161.285714285714,135,127.142857142857,117
16,"Melilla",2020-10-21,29.2857142857143,39,41.4285714285714,41,39.5714285714286,40.7142857142857,40.7142857142857,40.7142857142857,52.2857142857143,62.7142857142857,66.7142857142857,72.7142857142857,77.2857142857143,77.2857142857143,77.2857142857143,86.2857142857143,80.8571428571429,88.2857142857143,92.4285714285714,93.1428571428571,93.1428571428571,93.1428571428571,95,95.7142857142857,94.8571428571428
