"X1","Estado","Fecha","R0_dia_1","R0_dia_2","R0_dia_3","R0_dia_4","R0_dia_5","R0_dia_6","R0_dia_7","R0_dia_8","R0_dia_9","R0_dia_10","R0_dia_11","R0_dia_12","R0_dia_13","R0_dia_14","R0_dia_15","R0_dia_16","R0_dia_17","R0_dia_18","R0_dia_19","R0_dia_20","R0_dia_21","R0_dia_22","R0_dia_23","R0_dia_24","R0_dia_25"
5,"C. Valenciana",2020-11-05,2.18952180028129,2.36821244550139,2.40254820936639,2.50033579583613,2.34897094430993,2.34897094430993,2.34897094430993,1.99530638852673,1.75046059365404,1.96657499471123,1.78969442780108,1.60580365554927,1.60580365554927,1.60580365554927,1.54552754135218,1.2818410041841,1.37322631503512,1.41324200913242,1.51269166344543,1.51269166344543,1.51269166344543,1.42158912702561,1.48848087942931,1.11488812392427,1.16449057024886
7,"Cantabria",2020-11-07,3.24576271186441,3.024,2.79487179487179,2.79487179487179,2.79487179487179,2.11209964412811,2.08702791461412,1.91079136690647,1.51058823529412,1.60750853242321,1.60750853242321,1.60750853242321,1.41004566210046,1.17004405286344,1.36988685813751,1.47971781305115,1.33110925771476,1.33110925771476,1.33110925771476,1.25105307497894,1.35562549173879,1.14909638554217,1.16978193146417,1.01698513800425,1.01698513800425
19,"Pais Vasco",2020-10-31,1.8452530322041,1.96258626952416,2.12344749717727,2.12344749717727,2.12344749717727,3.61454753722795,1.98620689655172,2.09888617223581,1.98725934314836,1.96951063284653,1.96951063284653,1.96951063284653,1.3412134237064,1.71095717884131,1.87896645512239,1.59948176938738,1.46207018787664,1.46207018787664,1.46207018787664,1.57898906670892,1.35160024154589,1.35257571835361,1.50477275965237,1.38038246390009,1.38038246390009
