"X1","Estado","Fecha","R0_dia_1","R0_dia_2","R0_dia_3","R0_dia_4","R0_dia_5","R0_dia_6","R0_dia_7","R0_dia_8","R0_dia_9","R0_dia_10","R0_dia_11","R0_dia_12","R0_dia_13","R0_dia_14","R0_dia_15","R0_dia_16","R0_dia_17","R0_dia_18","R0_dia_19","R0_dia_20","R0_dia_21","R0_dia_22","R0_dia_23","R0_dia_24","R0_dia_25"
2,"Aragon",2020-10-23,1.58993830090176,1.33527454242928,1.38024691358025,1.39931885908897,1.39931885908897,1.39931885908897,2.3639896373057,2.20601092896175,2.49017272185825,2.82035928143713,2.60883424408015,2.60883424408015,2.60883424408015,2.18969197926197,2.23194029850746,2.57757009345794,2.340190816935,2.40279890477639,2.40279890477639,2.40279890477639,2.12109589041096,1.82016348773842,1.71418320975843,1.30496043234897,1.12969104555769
16,"Melilla",2020-10-21,1.04081632653061,1.23287671232877,1.46666666666667,1.3921568627451,1.29857819905213,1.3444976076555,1.3444976076555,1.3444976076555,2.05649717514124,2.09090909090909,2.54098360655738,2.6,2.64705882352941,2.64705882352941,2.64705882352941,2.23333333333333,1.97902097902098,2.17253521126761,2.35766423357664,2.31672597864769,2.31672597864769,2.31672597864769,1.82417582417582,1.53089244851259,1.4258064516129
17,"Murcia",2020-10-31,1.14304993252362,1.22713151536072,1.25445648374694,1.25445648374694,1.25445648374694,1.32696390658174,1.56422379826635,1.65033851055356,1.52643766885372,1.92647058823529,1.92647058823529,1.92647058823529,2.03748798462031,1.77285633162976,1.98081463990555,2.11308016877637,1.95709111173029,1.95709111173029,1.95709111173029,1.96133333333333,1.69244332493703,1.85955598455598,1.81719342604298,1.38696418085731,1.38696418085731
