"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
3,"Madrid",2020-11-05,2211.85714285714,2280.14285714286,2170.42857142857,2004.85714285714,1969.85714285714,1969.85714285714,1969.85714285714,1907.42857142857,1654,1965,1980.57142857143,1962.71428571429,1962.71428571429,1962.71428571429,1939,1868.85714285714,1679.42857142857,1621,1577.57142857143,1577.57142857143,1577.57142857143,1498.14285714286,1708,1455.42857142857,1374.42857142857
7,"Campania",2020-11-09,2272.42857142857,2518.71428571429,2666.85714285714,2617.28571428571,2587.42857142857,2833.14285714286,2938.28571428571,3160,3150.28571428571,3253.42857142857,3405.42857142857,3397.85714285714,3213.71428571429,3193.28571428571,3052.28571428571,2872.28571428571,2715.85714285714,2805.42857142857,2706.28571428571,2713.85714285714,2379.57142857143,2324.57142857143,2342.71428571429,2243.71428571429,1783
12,"Saint Petersburg",2020-12-12,1872.28571428571,1720.14285714286,1643.28571428571,1485.14285714286,1480.71428571429,1651.28571428571,1668,1672.28571428571,1831.42857142857,1853.42857142857,1970.42857142857,1940,1776.71428571429,1768.42857142857,1587.85714285714,1422.28571428571,1325.57142857143,1228.14285714286,1202.71428571429,1206.57142857143,1205.42857142857,1283.71428571429,1340.71428571429,1341,1216.28571428571
24,"Mexico",2021-01-17,1122.85714285714,1113.85714285714,1259.71428571429,1346,1321.85714285714,1355,1394.57142857143,1390.14285714286,1624.42857142857,1833.71428571429,1842.14285714286,1903.57142857143,2008.85714285714,2087.57142857143,2236.14285714286,2184,2110.57142857143,2086.57142857143,2057.42857142857,2029.14285714286,1976.85714285714,1923.71428571429,1843,1767,1718.14285714286
