"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
1,"Andalucia",2020-11-03,2826.42857142857,2826.42857142857,3027.71428571429,3083.14285714286,2904,3244,3441.85714285714,3441.85714285714,3441.85714285714,4482.14285714286,4633.71428571429,4735.85714285714,4523.14285714286,4466.85714285714,4466.85714285714,4466.85714285714,3978,3403.42857142857,3925.14285714286,4093.85714285714,4138.57142857143,4138.57142857143,4138.57142857143,3938.85714285714,4229
2,"Catalonia",2020-10-30,2545.57142857143,2930,3254.57142857143,3411.14285714286,3411.14285714286,3411.14285714286,4411.42857142857,4661.71428571429,4786.14285714286,4929.57142857143,5142.28571428571,5142.28571428571,5142.28571428571,4273.85714285714,4441.57142857143,4553.42857142857,4536.28571428571,4403.14285714286,4403.14285714286,4403.14285714286,4417.14285714286,3613.71428571429,3614.42857142857,3054.57142857143,2958.57142857143
22,"Ciudad de Mexico",2021-01-17,3533.71428571429,3742.71428571429,4304.14285714286,4506.57142857143,4542.57142857143,4725.57142857143,4845,4950.71428571429,5346.85714285714,5711,5861.28571428571,5970.28571428571,6203.71428571429,6404.57142857143,6644.42857142857,6489.57142857143,6274.28571428571,6134.71428571429,6075.14285714286,5862.57142857143,5699.42857142857,5445.71428571429,5208.28571428571,4995.71428571429,4883.85714285714
27,"Texas",2021-01-06,3910.85714285714,3197.85714285714,2029.28571428571,1880.42857142857,2332.85714285714,2438.85714285714,4082.71428571429,2025,2503.28571428571,4534.71428571429,4127.71428571429,5662.14285714286,7120.14285714286,6636.57142857143,6598.14285714286,8158.42857142857,6449.71428571429,7223.71428571428,7438.28571428571,7325.71428571429,6475.28571428571,6057.14285714286,3078.57142857143,4220.28571428571,2867
