"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
9,"Veneto",2020-12-13,-512.428571428571,-421.571428571429,-365.142857142857,-263,-180.571428571428,-19.5714285714284,1894,1953.14285714286,1907.42857142857,2052.28571428571,2153.85714285714,2194.14285714286,2025.42857142857,2077,1980.28571428571,2019.85714285714,1558.57142857143,1522.28571428571,1464.85714285714,1595.14285714286,1493.85714285714,1377,-1322.71428571429,-1109.42857142857,-1265.71428571429
10,"Moscow",2020-12-25,785.571428571428,793.571428571429,797.285714285714,771,742.428571428571,870.142857142858,1164,1466.42857142857,1604.57142857143,1856.14285714286,1933.57142857143,2126,1994.57142857143,1721.57142857143,1405.14285714286,1231.42857142857,916,618,256,-289.142857142856,-846.142857142857,-1121.14285714286,-1303.28571428571,-1735.57142857143,-1966
16,"Karnataka",2020-10-08,1386.42857142857,2240.28571428571,2022.85714285714,2312.71428571429,2130.85714285714,1776.14285714286,1751.14285714286,1841,1254.57142857143,1422.42857142857,1156.14285714286,1172.14285714286,1355.71428571429,865.142857142857,233,-52.5714285714275,-131.142857142859,-341.285714285714,-755.714285714284,-1315.71428571429,-1426,-1221.42857142857,-1220.57142857143,-1793,-2805.28571428571
