"","Estado","Fecha","R0_dia_1","R0_dia_2","R0_dia_3","R0_dia_4","R0_dia_5","R0_dia_6","R0_dia_7","R0_dia_8","R0_dia_9","R0_dia_10","R0_dia_11","R0_dia_12","R0_dia_13","R0_dia_14","R0_dia_15","R0_dia_16","R0_dia_17","R0_dia_18","R0_dia_19","R0_dia_20","R0_dia_21","R0_dia_22","R0_dia_23","R0_dia_24","R0_dia_25"
"1","Andalucia",2020-11-03,"2.11303879310345","2.11303879310345","1.6789423230548","1.96779832551293","1.79327566217783","1.99405131847643","1.97970005799983","1.97970005799983","1.97970005799983","2.17508911721535","1.91223799061813","1.8456228956229","1.67684913217623","1.5787138558825","1.5787138558825","1.5787138558825","1.30993957272684","1.10066392369553","1.34787149393276","1.25771405672559","1.19683589335789","1.19683589335789","1.19683589335789","0.873839133648253","0.904670227300956"
"2","Catalonia",2020-10-30,"1.74087126774351","1.98324130582195","1.93550860453229","2.00395290159798","2.00395290159798","2.00395290159798","2.4594767070836","2.52542241512944","2.60657525708944","2.59483861259499","2.59600115490111","2.59600115490111","2.59600115490111","1.83193328836839","1.74453129393241","1.50310164607043","1.34618601170826","1.24178453015487","1.24178453015487","1.24178453015487","0.961630773222626","0.738421876438634","0.749088409349035","0.614387613082811","0.572028360906437"
"3","Madrid",2020-11-05,"0.78929662025775","1.028374836173","0.98916060806345","0.928475215517241","0.903713068937983","0.903713068937983","0.903713068937983","0.908432238476401","0.759001853322743","0.846407299455075","0.812741779497099","0.83412678526685","0.83412678526685","0.83412678526685","0.862754098360656","0.807366341681004","0.77221702525725","0.809299289133904","0.797584861203151","0.797584861203151","0.797584861203151","0.77895936194455","1.01988314293189","0.746818385985926","0.702885616540235"
"4","Baden-Wurttemberg",2020-12-12,"0.992695801620427","0.979659987856709","1.02486863008677","1.03763539563062","1.04437209863146","1.09028770272789","1.12839352428394","1.20092247425286","1.27714738510301","1.3093570973902","1.3354119425548","1.37273593898951","1.39327044025157","1.43880898309362","1.41730043900328","1.42255965292842","1.39742443212305","1.40457655107337","1.3842867863534","1.37056879060755","1.310672111246","1.26185089703793","1.15357125130292","1.0164316966456","0.897740672609783"
"5","Bayern",2020-12-31,"1.26058880154019","1.14024826927668","1.12186629526462","1.05855085679547","0.949460916442049","0.87718525047745","0.83206079506757","0.831672411209351","0.743026262076473","0.792683765385409","0.776554028710744","0.734745201853077","0.710401267159451","0.720626021957487","0.705113112093926","0.713458250462333","0.598075729360646","0.700035893754487","0.818547433167731","0.91588511137163","0.963079441668103","0.97792693364566","1.04367731892684","1.05521339347675","0.945332396592605"
"6","Nordrhein-Westfalen",2020-12-11,"0.846064102148621","0.825834359508699","0.818804720213171","0.83946530872056","0.854818361207259","0.878455782538158","0.911128388885133","0.935399905347847","0.908574771178859","1.01478006278881","1.07716230060003","1.09878164441526","1.11445739520741","1.16626407521647","1.22346497108055","1.30961575224622","1.30605919727259","1.29868061874431","1.30656575212867","1.3098522538821","1.30772084740103","1.29193017961042","1.37754213217194","1.18610956618465","1.03692130022757"
"7","Campania",2020-11-09,"3.06310344827586","3.01206843874122","2.87927013307724","2.66021897810219","2.48139822412049","2.42209574143714","2.40085828537989","2.30110007097232","2.29516407599309","2.1352977958418","2.09209528144439","1.86747317339895","1.71970192181985","1.5708778173191","1.4666216368344","1.27291170056297","1.1563348739696","1.15365619426533","1.15640712053268","1.09189710880786","1.02738056548586","0.980684709692343","0.964707652946046","0.918262015447125","0.839981144390456"
"8","Lombardia",2020-11-08,"4.4261479303325","4.20120646040086","3.99449245890527","3.63681338668607","3.50814332247557","3.40997512596467","2.9880289532294","2.75492057148566","2.49264934488119","2.36594509614222","2.0440313111546","1.89646164806459","1.84841023115516","1.68350871332331","1.55723630417007","1.4276053728578","1.23632352629234","1.20080819396655","1.14858016094089","1.06368652389414","1.04952948849343","0.987977805178792","0.945654110687431","0.91658147618074","0.901193198943319"
"9","Veneto",2020-12-13,"0.937769619091326","0.957096014409089","0.962618981609833","0.993304595065578","0.992269883824844","1.0637296037296","1.06263601097549","1.0801778609876","1.09092188599578","1.16464275628354","1.21452145214521","1.26023564064801","1.24793587948433","1.30734891758268","1.34290887736126","1.33994402624976","1.2722603561657","1.21338873499538","1.17242310983023","1.13064820090284","1.12803846496305","1.07344657249328","1.09972906721713","0.980480116391853","0.93450693131695"
"10","Moscow",2020-12-25,"0.947590059130283","0.934717396465028","0.901712071982004","0.915953323964056","0.899590637136559","0.903638131088544","0.928660138037747","0.991782540512284","1.0057975261098","1.05964627130606","1.05986498535218","1.11396086148464","1.12667980648629","1.12758134264505","1.08600244076539","1.07630679719246","1.03896703855127","1.01294897128909","0.969476337160459","0.887502861066606","0.791726043014053","0.744518468544443","0.73562094223406","0.679260515056107","0.656491607579217"
"11","Moscow Oblast",2020-12-26,"1.31620185922975","1.30255810933645","1.28985507246377","1.27587920964335","1.25250815907168","1.22020178320038","1.19929231822851","1.17640511964385","1.16340369681724","1.15479009687836","1.14750450354986","1.13697058209889","1.12578165043567","1.12492351621456","1.11986681465039","1.10138570431662","1.08811354228267","1.07032239213013","1.0537541015248","1.01557542543986","0.9657371276292","0.911636707663198","0.881545548556924","0.842188665175242","0.79924277403269"
"12","Saint Petersburg",2020-12-12,"1.89840476365508","1.81407916900618","1.73679967754938","1.66892327530625","1.59769619317482","1.51784358390281","1.43225096312603","1.34707886044591","1.26286596247528","1.19259057477527","1.13220047322005","1.08464453414614","1.05270933993531","1.03258870936192","1.0219563197026","1.02062134870585","1.01949408215363","1.01742321807997","1.01503643443729","1.01235233001116","1.01072087304027","1.00739435270679","1.00397204292862","1.0004948987361","0.998632114902348"
