"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
14,"Osaka",2021-01-09,149.793930310978,148.482577744474,148.33270887973,144.998126639191,143.574372424129,141.813413263395,139.827650805545,139.940052454103,143.911577369801,148.070438366429,157.362307980517,169.276882727613,182.765080554515,195.803671787186,207.006369426752,219.370550768078,222.068190333458,230.648182840015,241.101536155864,252.56650430873,266.466841513676,274.372424128887,279.805170475834,284.713375796178,282.690146122143
16,"Karnataka",2020-10-08,209.065264318521,208.476378333292,207.848113953913,220.184290884618,210.577752639247,209.022306070358,210.282414683129,210.581332493261,213.305601397575,216.803118768817,216.287619790865,221.691409424324,228.761621101091,234.120662559381,238.162317740683,241.215933214244,241.180134674108,242.458142556947,238.409327667618,239.141407813389,236.290054091594,234.050855406117,229.214472633806,223.606631321575,219.967709716798
18,"Maharashtra",2020-09-12,164.473713483345,167.462866426635,171.597312563736,175.395378881676,178.472631301413,182.972823749825,188.586273218795,200.073911011271,204.891795511113,213.52910377773,221.261390149937,228.904687151996,238.212085375832,243.371689057045,248.831186915658,238.284166765653,257.66872126511,262.947570702322,268.744338273798,270.913899118019,270.663838987902,268.240658438757,267.625741891031,266.076436956744,263.808987805359
23,"Guanajuato",2021-01-22,132.691544939511,131.118640154086,136.583268119944,139.712862177542,143.280275092939,150.852919781532,153.723065627101,169.598053100617,176.586939312144,174.884310420705,182.229937923772,194.780745180668,204.558699671506,207.526138596586,212.082697820343,218.422963501798,221.212031781109,223.433557096606,222.784936566534,221.795790258174,216.81762768987,207.428845517075,201.753415878944,201.218303941635,187.954014101659
