"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
1,"Andalucia",2020-11-03,343.000830181805,354.283363603209,374.249312799201,374.249312799201,374.249312799201,417.323780709609,451.643947818696,448.087882311008,486.554823483879,513.940072144417,513.940072144417,513.940072144417,615.943625610807,633.145058764278,626.115626946754,636.2876282827,648.007286035614,648.007286035614,648.007286035614,692.901136298793,658.580969189705,708.755753944368,704.668050736194,703.569332821858,703.569332821858
2,"Catalonia",2020-10-30,330.87937130863,330.87937130863,370.735529264972,394.38445884887,428.109888864169,462.824975171837,484.301801984171,484.301801984171,484.301801984171,605.888146475301,647.338036642731,693.157837711534,735.263214514171,768.487390043724,768.487390043724,768.487390043724,780.273296798308,817.507508213826,825.540432664878,836.349535806214,842.531674463744,842.531674463744,842.531674463744,765.068577397356,707.964124059714
7,"Campania",2020-11-09,405.536867520716,433.270156361282,467.329186037453,500.509161810037,539.446078833554,582.261174843477,604.116867975756,632.711974368857,674.441180262585,714.894896178563,753.297486319508,797.956871891855,832.6191738548,852.251377701539,851.475741904258,864.213405330721,880.794775041488,896.186836529757,890.705676895637,889.171641652125,910.16551723187,910.992862082303,901.961014131739,892.412075649655,887.55142465336
10,"Moscow",2020-12-25,771.126678265914,768.046135789817,762.785262982112,753.651000304998,752.304811501771,743.723890234573,744.293749298516,731.624708659554,729.568260733151,733.84633312623,750.405281288628,754.592506584556,766.757758775685,767.583641477052,774.669715054776,776.280186322441,779.41028176062,781.252000184667,781.88792986472,780.690399947738,772.183808123663,763.867169320902,735.688051550277,700.951425130801,681.171534433073
20,"Santa Catarina",2021-01-08,727.801814375436,733.370551290998,698.93928820656,703.251919050942,648.220516399163,619.972086531752,573.970690858339,546.950453593859,503.852058618283,490.969993021633,479.860432658758,484.27076064201,504.242847173761,537.725052337753,566.12700628053,567.062107466853,563.140265177948,559.511514305652,562.735519888346,568.80669923238,594.40334961619,611.55617585485,619.678995115143,620.781577110956,610.425680390789
22,"Ciudad de Mexico",2021-01-17,506.756610029334,494.932433899707,501.870586835273,507.885824278628,526.268129317616,569.25427559603,577.973112540098,577.734240295055,592.826623050042,605.736582111683,621.545581601799,666.334127547355,735.672225585736,762.067608662984,773.511760766406,804.141697278507,827.855196513681,853.642541149002,871.177935501019,881.786034746791,882.296352724837,886.357180890568,886.617768794251,887.518968627822,885.792573765921
