"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
3,"Madrid",2020-11-05,457.116695733027,457.116695733027,457.116695733027,438.679812999861,454.299540051399,453.517816223513,447.352522637542,435.774160281114,435.774160281114,435.774160281114,419.107218290332,400.596588026233,417.765013227357,401.658552471663,396.717467899175,396.717467899175,396.717467899175,388.236501841918,356.008830824344,367.483946637467,362.882100707268,356.171075392396,356.171075392396,356.171075392396,345.315438839108
4,"Baden-Wurttemberg",2020-12-12,301.558256246521,298.48874735768,297.733032403285,298.554056057443,297.714372774781,303.06035634106,306.316461514936,308.424999535842,312.044967465538,316.971109390486,328.222865378151,338.504320683629,348.403253604784,355.997722405745,363.14436012262,370.384295982013,381.869297325973,391.189781763516,402.114994252368,410.59579540725,420.000248173059,425.25293359682,431.046748247184,434.396151563579,437.6242672947
5,"Bayern",2020-12-31,443.274325079569,447.945943765857,450.530906105603,452.531916109563,452.018038054071,452.243832957242,445.259763021242,432.763183035422,421.909455620946,414.053350196839,417.549278180411,393.202358793707,405.294065160049,394.237900935834,370.350357386616,353.579246302842,348.868697460835,345.388341539551,329.263471040714,314.547872178907,329.170038666988,334.519042062787,337.937109734921,342.196068770587,341.573186279082
6,"Nordrhein-Westfalen",2020-12-11,326.726285190421,323.936673346424,316.44169212701,311.949184699528,309.30521524096,303.389893740436,300.852355255836,301.586168813193,303.373088849809,301.715006307996,301.244469370454,294.421683776099,305.736976797936,312.666193366258,316.755383418704,321.08544357013,326.776699862301,333.924380008768,339.783685207204,349.989855447692,356.79583615142,362.134189740435,367.13644551692,373.236620814336,379.174348835696
11,"Moscow Oblast",2020-12-26,253.388012969198,259.347079291336,263.433296197945,268.10123148362,272.04556585875,275.762888183512,279.565340027162,283.027273795261,285.978430450034,288.205986194262,290.589612723117,293.242816061784,296.165596210261,299.315388409105,301.656450178517,303.387417062566,305.586596300498,307.445257462879,307.672269513246,308.849894524526,309.559307181923,309.559307181923,305.685914072534,300.478825167237,294.193429022696
17,"Kerala",2020-10-11,214.58216455131,219.371356683485,234.346941837253,245.680464681625,260.928605485191,270.54293115391,282.035195200912,288.420784710479,299.640493107682,315.304955178523,312.672247308491,320.97770683477,335.201517613819,340.898230206312,345.067433113121,349.290548126484,341.545175484955,340.508864992314,334.593508856576,338.133737186927,335.372239284572,335.312336943957,331.478587144592,324.778510346797,330.879563738442
19,"Minas Gerais",2021-02-05,469.990551103803,468.696833311787,468.701589627199,458.622957269548,458.970168294611,457.181793699766,442.34208961488,443.15066323489,432.23967568017,428.895985945659,423.388172698769,416.339313258448,422.146774376283,402.398552786397,360.195766137298,396.001308557496,383.173525891811,384.928606278774,375.767942795604,367.139986638559,365.018669964886,352.419190438969,346.074265679598,344.490412647461,336.60444169466
