"X1","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
8,"Lombardia",2020-11-08,439.46796673828,478.779839003222,535.57580313012,587.978379762427,652.994550807936,715.167941709887,771.148842998421,806.842631444289,854.364770837131,890.476030492892,937.163227465948,987.041097257473,1051.97774997729,1057.50427361302,1069.50160100209,1128.34516201561,1134.52771183831,1153.93018330763,1170.56939295909,1162.71695829681,1157.27989277749,1145.84913345899,1162.19014938909,1160.94767555012,1147.34010206575
9,"Veneto",2020-12-13,871.40791389226,859.401849300856,855.528925239112,852.022909772692,856.915024376999,857.730376811051,867.677676506476,867.881514614989,887.266518734557,882.517090806208,886.940377760936,896.418849806782,929.032947168831,959.099068174471,975.936095937629,991.937387455884,1013.03463168696,1029.76974039586,1040.02279725406,1044.6499223173,1053.31304192909,1053.98570768718,1052.70152760355,1071.65847169524,1064.32029978878
12,"Saint Petersburg",2020-12-12,752.467082351237,783.151215942376,812.25656542017,839.54166968493,865.173694113364,889.319804082179,912.537217513731,932.689932372318,947.82768592969,958.136217493299,964.451353946682,966.401616674932,968.110418303494,969.614906693859,970.85936005379,972.345274513409,973.608301804086,974.982772679234,976.301521762146,977.471679399096,977.991749459963,978.103193044434,978.307506282632,978.790428482008,978.567541313065
25,"California",2020-12-17,579.664392099766,609.893368247733,656.501431538792,684.284673087104,711.258571231186,757.871692918521,828.168225972118,879.629820490415,919.252238523719,963.90017325766,981.215063711892,1044.56388947981,1153.12213196835,1212.11314934412,1272.40923295921,1299.04168935463,1329.9788409813,1370.47889076856,1391.32960022002,1421.04261994779,1414.86125969799,1363.31873083927,1438.94934276637,1445.70483099354,1491.62495239101
26,"Florida",2021-01-08,677.958255157665,670.761470352278,669.594920677378,681.829914118062,692.530940663405,711.103881156696,723.775182546653,742.504275358631,752.617434351269,753.724278727847,776.674076859641,806.062861779663,836.691679818672,887.252882066604,919.048249780514,941.653594268144,957.167786401264,970.123836137064,970.670369252469,954.724461885332,959.849932110483,943.127855865164,945.378286340365,930.433590898929,904.645494739228
27,"Texas",2021-01-06,738.838543410777,696.011274394428,668.167415774713,736.139689411656,730.367140580204,744.444117689254,745.251729302627,746.338767718939,722.584081825164,736.098797684397,756.227750427838,760.45322891131,798.605210444333,791.633170946605,846.680251125639,911.929817255893,959.456227263135,916.639181178601,962.270941156157,959.844698672099,973.822854106939,1008.16168207302,1063.06564120665,1061.41634154052,1057.13634075403
